x86,x64,x86_name,x64_name
3,0,sys_read,sys_read
4,1,sys_write,sys_write
5,2,sys_open,sys_open
6,3,sys_close,sys_close
7,61,sys_waitpid,sys_wait4
10,87,sys_unlink,sys_unlink
11,59,sys_execve,sys_execve
12,80,sys_chdir,sys_chdir
13,201,sys_time,sys_time
19,8,sys_lseek,sys_lseek
33,21,sys_access,sys_access
43,22,sys_times,sys_times
45,12,sys_brk,sys_brk
54,16,sys_ioctl,sys_ioctl
57,109,sys_setpgid,sys_setpgid
60,95,sys_umask,sys_umask
78,96,sys_gettimeofday,sys_gettimeofday
91,11,sys_munmap,sys_munmap
102,41,sys_socketcall,sys_socket
104,38,sys_setitimer,sys_setitimer
119,15,sys_sigreturn,sys_sigreturn
120,56,sys_clone,stub_clone
122,63,sys_newuname,sys_newuname
125,10,sys_mprotect,sys_mprotect
140,8,sys_llseek,sys_lseek
141,78,sys_getdents,sys_getdents
142,23,sys_select,sys_select
146,20,sys_writev,sys_writev
156,144,sys_sched_setscheduler,sys_sched_setscheduler
162,35,sys_nanosleep,sys_nanosleep
163,25,sys_mremap,sys_mremap
168,7,sys_poll,sys_poll
174,13,sys_rt_sigaction,sys_rt_sigaction
175,14,sys_rt_sigprocmask,sys_rt_sigprocmask
183,79,sys_getcwd,sys_getcwd
191,97,sys_getrlimit,sys_getrlimit
192,9,sys_mmap_pgoff,sys_mmap
195,4,sys_stat64,sys_newstat
196,6,sys_lstat64,sys_newlstat
197,5,sys_fstat64,sys_newfstat
205,115,sys_getgroups,sys_getgroups
220,217,sys_getdents64,sys_getdents64
221,72,sys_fcntl64,sys_fcntl
240,202,sys_futex,sys_futex
243,205,sys_set_thread_area,set_thread_area
258,218,sys_set_tid_address,sys_set_tid_address
265,228,sys_clock_gettime,sys_clock_gettime
268,137,sys_statfs64,sys_statfs
292,254,sys_inotify_add_watch,sys_inotify_add_watch
295,257,sys_openat,sys_openat
300,262,sys_fstatat64,sys_newfstatat
301,263,sys_unlinkat,sys_unlinkat
309,271,sys_ppoll,sys_ppoll
311,273,sys_set_robust_list,sys_set_robust_list
331,293,sys_pipe2,sys_pipe2
340,303,sys_prlimit64,sys_prlimit64